"NE_TRACKING_ID","REFERRER_URL","KEYWORD","MATCH_TYPE","IP_ADDRESS","SERVER_TIMESTAMP","SE_ID","LANDING_TYPE","COUNTRY_NAME","CITY_NAME","LONGITUDE","LATITUDE","ZIP_CODE","CONVERSION_IND","PPC_ID","KEYWORD_ID","ADGROUP_ID","CONVERSION","USER_ID","HTTP_ID","FLASH_ID","ADCOPY_ID","NAVIGATION_TYPE","BUSINESS_ASSOCIATE_ID","LANDING_TRACK_ID","CHANNEL","VISIT_DATA","USER_PARAM","SE_KEYWORD","SE_AD_ID","LOCID","TDIFF","ACCOUNT_DATE","CURRENT_URL","DOMAIN_HASH","USER_AGENT","LOC_AD_EXT_ID","IS_LANDING","NE_TITLE","INFO_TIME_STAMP","TIME_ZONE","LANGUAGE","SCREEN_RESOLUTION","SESSIONID","LATE_CONVERSION","USER_TYPE","INFO_CONV_TYPE","SRC_SE","LANDING_TIME"
-727798606,"","",,"153.254.194.91",26-07-18 12:00:00.136000000 AM,0,3,"","",,,"",,0,0,0,0,15325631092648780,0,0,0,1,1462,0,"","","","",0,0,-4,25-07-18,"",148072231,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.75 Safari/537.36",0,1,"","2018-07-25 23:58:29.256","570","en-us","1280x720","1532563109264507282",0,1,0,"",
-727798613,"","",,"199.59.217.11",26-07-18 12:00:01.066000000 AM,0,3,"","",,,"",,0,0,0,0,15325633438035860,0,0,0,1,1462,0,"","","","",0,0,-4,25-07-18,"",148072231,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",0,1,"","2018-07-26 00:02:23.801","-480","en-us","1920x1080","1532563343803761108",0,1,0,"",
-727798616,"","",,"24.168.101.146",26-07-18 12:00:01.394000000 AM,0,3,"","",,,"",,0,0,0,0,15325633449535079,0,0,0,1,1462,0,"","","","",0,12233,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15G77 [FBAN/FBIOS;FBAV/181.0.0.33.81;FBBV/117675513;FBDV/iPhone10,6;FBMD/iPhone;FBSN/iOS;FBSV/11.4.1;FBSS/3;FBCR/T-Mobile;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",0,1,"","2018-07-26 00:02:24.952","-240","en-us","375x812","1532563344953391278",0,1,0,"",
-727798621,"http://www.bebe.com/dresses/197.sec?extid=ps_yahoo_brand | dresses | search | yahoo_bebe dresses_e&eedynamic=yahoogemini-_-brand | dresses | search | yahoo-_-bebe dresses - exact-_-bebe dresses&utm_medium=cpc&utm_source=yahoogemini&utm_campaign=brand_|_dresses_|_search_|_yahoo&utm_content=bebe_dresses_-_exact&utm_term=bebe dresses&k_clickid=b81c425f-bfb5-4f72-9210-b259929505ec&cvosrc=ppc.yahoo-gemini.bebe dresses&matchtype=e&cvo_campaign=brand | dresses | search | yahoo&cvo_crid=28005495358","",,"98.116.157.145",26-07-18 12:00:01.638000000 AM,0,3,"","",,,"",,0,0,0,0,15325633463174114,0,0,0,1,1462,0,"","","","",0,9080,-4,25-07-18,"https://www.bebe.com/checkout/basket.jsp",27923887,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",0,1,"bebe: shopping bag","2018-07-26 00:02:26.309","-240","en-us","1536x864","1532563346317315544",0,1,3,"",
-727798625,"","",,"174.22.116.20",26-07-18 12:00:02.082000000 AM,0,3,"","",,,"",,0,0,0,0,15325633458678810,0,0,0,1,1462,0,"","","","",0,1962,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15F79 [FBAN/FBIOS;FBAV/175.0.0.47.102;FBBV/112197024;FBDV/iPhone8,2;FBMD/iPhone;FBSN/iOS;FBSV/11.4;FBSS/3;FBCR/Verizon;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",0,1,"","2018-07-26 00:02:25.865","-300","en-us","414x736","1532563345867351179",0,1,0,"",
-727798635,"","",,"142.196.184.147",26-07-18 12:00:02.650000000 AM,0,3,"","",,,"",,0,0,0,0,15325633464185300,0,0,0,1,1462,0,"","","","",0,0,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E302 [FBAN/FBIOS;FBAV/181.0.0.33.81;FBBV/117675513;FBDV/iPhone10,4;FBMD/iPhone;FBSN/iOS;FBSV/11.3.1;FBSS/2;FBCR/AT&T;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",0,1,"","2018-07-26 00:02:26.416","-240","en-us","375x667","1532563346418562097",0,1,0,"",
-727798640,"","",,"189.155.188.138",26-07-18 12:00:03.398000000 AM,0,3,"","",,,"",,0,0,0,0,15325633471161273,0,0,0,1,1462,0,"","","","",0,152,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",0,1,"","2018-07-26 00:02:27.114","-300","es-xl","375x667","1532563347116768562",0,1,0,"",
-727798653,"","",,"76.216.198.127",26-07-18 12:00:04.125000000 AM,0,3,"","",,,"",,0,0,0,0,15325633479778351,0,0,0,1,1462,0,"","","","",0,2192,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1 like Mac OS X) AppleWebKit/604.3.5 (KHTML, like Gecko) Version/11.0 Mobile/15B93 Safari/604.1",0,1,"","2018-07-26 00:02:27.972","-420","en-us","414x736","1532563347976904550",0,1,0,"",
-727798655,"","",,"75.23.227.145",26-07-18 12:00:04.218000000 AM,0,3,"","",,,"",,0,0,0,0,15325633479986637,0,0,0,1,1462,0,"","","","",0,4412,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Version/11.0 Mobile/15D100 Safari/604.1",0,1,"","2018-07-26 00:02:27.997","-420","en-us","375x812","1532563347998506781",0,1,0,"",
-727798658,"","",,"172.58.35.93",26-07-18 12:00:04.400000000 AM,0,3,"","",,,"",,0,0,0,0,15325633481518892,0,0,0,1,1462,0,"","","","",0,0,-4,25-07-18,"",148072231,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B100 Safari/602.1",0,1,"","2018-07-26 00:02:28.15","-420","en-us","375x667","1532563348151656103",0,1,0,"",
